epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,17298.7,0.64556,1.62261,0.52119,1.16683,0.90725,0.88346,0.89008,0.72107,0.94222,0.91917,0.93121,0.62086,0.7966,1.65761,0.62818,1.39894,0.000478762,0.000478762,0.000478762
74,17462.2,0.62024,1.60806,0.53228,1.15588,0.91458,0.88802,0.90492,0.74337,0.94947,0.92373,0.93638,0.6397,0.77808,1.62417,0.63472,1.36482,0.000462259,0.000462259,0.000462259
75,17612.6,0.62892,1.63039,0.52635,1.17481,0.91464,0.87902,0.89275,0.74346,0.93713,0.90346,0.91388,0.63641,0.79366,1.72985,0.64869,1.3869,0.000445756,0.000445756,0.000445756
76,17776,0.59546,1.56725,0.50489,1.15434,0.8987,0.88956,0.90544,0.76012,0.92858,0.92151,0.93183,0.65139,0.79991,1.74131,0.63765,1.4144,0.000429253,0.000429253,0.000429253
77,17918.4,0.6065,1.6016,0.49974,1.15666,0.91337,0.87594,0.89233,0.74402,0.94815,0.91165,0.93868,0.64239,0.79298,1.8507,0.67706,1.41664,0.000412749,0.000412749,0.000412749
78,18069.4,0.60636,1.6618,0.52574,1.16209,0.91297,0.88346,0.88959,0.74606,0.94368,0.91541,0.92086,0.63055,0.78586,1.76465,0.63587,1.40456,0.000396246,0.000396246,0.000396246
79,18214.2,0.58031,1.56292,0.48826,1.13034,0.90705,0.88779,0.90317,0.76529,0.94595,0.9174,0.93122,0.62247,0.78347,1.84258,0.65413,1.38787,0.000379743,0.000379743,0.000379743
1,186.649,0.56177,1.56326,0.51552,1.10759,0.90406,0.87976,0.89923,0.75628,0.93852,0.91492,0.93314,0.62387,0.78638,1.75393,0.67977,1.37949,0.00046676,0.00046676,0.00046676
2,360.118,0.61895,1.62364,0.49769,1.15549,0.87289,0.89931,0.92919,0.68951,0.86433,0.89179,0.91826,0.57148,0.91793,2.21497,0.71251,1.5184,0.000903156,0.000903156,0.000903156
3,549.062,0.715,1.76694,0.61096,1.23048,0.82767,0.8689,0.88196,0.62641,0.89224,0.8486,0.87492,0.52115,0.98796,1.93802,0.97824,1.54036,0.00129169,0.00129169,0.00129169
4,741.602,0.68234,1.70073,0.58143,1.20323,0.91433,0.77592,0.90259,0.59786,0.9008,0.81767,0.86738,0.56815,0.90657,1.90486,0.76118,1.54932,0.00141945,0.00141945,0.00141945
5,935.913,0.70345,1.81668,0.60741,1.22422,0.86648,0.83366,0.87044,0.6778,0.87022,0.83742,0.88318,0.59097,0.87957,1.7273,0.83408,1.50902,0.00133693,0.00133693,0.00133693
6,1131.67,0.72263,1.74988,0.59104,1.21633,0.7913,0.80903,0.87397,0.607,0.78688,0.80118,0.87697,0.51624,1.02455,2.20089,1.1407,1.64739,0.00125442,0.00125442,0.00125442
7,1257.19,0.72448,1.74898,0.61284,1.22451,0.8951,0.89662,0.91453,0.71632,0.92317,0.87047,0.91724,0.63363,0.92414,1.78499,0.75995,1.56559,0.0011719,0.0011719,0.0011719
8,1377.58,0.68032,1.72613,0.56242,1.18701,0.91905,0.88229,0.90401,0.68912,0.95127,0.91266,0.93301,0.58329,0.94866,1.75555,0.70902,1.59456,0.00108938,0.00108938,0.00108938
9,1512.55,0.67155,1.73692,0.56879,1.18362,0.89665,0.85714,0.88433,0.67729,0.92798,0.8891,0.91884,0.59948,1.00052,1.77332,0.80781,1.60465,0.00100687,0.00100687,0.00100687
10,1652.1,0.69048,1.72243,0.58098,1.21406,0.88479,0.87878,0.8668,0.70195,0.9181,0.91406,0.90979,0.54282,0.91587,1.99461,0.70155,1.54416,0.000924352,0.000924352,0.000924352
11,3510.17,0.56722,1.5802,0.54348,1.26974,0.92106,0.8797,0.8543,0.69302,0.95628,0.91541,0.90629,0.5891,0.90826,1.97036,0.70544,1.53507,0.000841835,0.000841835,0.000841835
